,,Fraction of newborns having weight less than 2.5 kg
Adegaon Hingana SC,Apr-2015,
Adegaon Hingana SC,May-2015,
Adegaon Hingana SC,Jun-2015,
Adegaon Hingana SC,Jul-2015,
Adegaon Hingana SC,Aug-2015,
Adegaon Hingana SC,Sep-2015,
Adegaon Hingana SC,Oct-2015,
Adegaon Hingana SC,Nov-2015,
Adegaon Hingana SC,Dec-2015,
Adegaon Hingana SC,Jan-2016,
Adegaon Hingana SC,Feb-2016,
Adegaon Hingana SC,Mar-2016,
Adegaon Hingana SC,Total,
Ambadi SC,Apr-2015,0.0
Ambadi SC,May-2015,
Ambadi SC,Jun-2015,
Ambadi SC,Jul-2015,0.0
Ambadi SC,Aug-2015,0.0
Ambadi SC,Sep-2015,0.0
Ambadi SC,Oct-2015,
Ambadi SC,Nov-2015,
Ambadi SC,Dec-2015,
Ambadi SC,Jan-2016,
Ambadi SC,Feb-2016,0.0
Ambadi SC,Mar-2016,0.0
Ambadi SC,Total,0.0
Borkhedi Nagpur SC,Apr-2015,
Borkhedi Nagpur SC,May-2015,
Borkhedi Nagpur SC,Jun-2015,
Borkhedi Nagpur SC,Jul-2015,
Borkhedi Nagpur SC,Aug-2015,
Borkhedi Nagpur SC,Sep-2015,
Borkhedi Nagpur SC,Oct-2015,
Borkhedi Nagpur SC,Nov-2015,
Borkhedi Nagpur SC,Dec-2015,
Borkhedi Nagpur SC,Jan-2016,
Borkhedi Nagpur SC,Feb-2016,
Borkhedi Nagpur SC,Mar-2016,
Borkhedi Nagpur SC,Total,
Dhamangaon1 SC,Apr-2015,0.0
Dhamangaon1 SC,May-2015,0.0
Dhamangaon1 SC,Jun-2015,0.0
Dhamangaon1 SC,Jul-2015,0.0
Dhamangaon1 SC,Aug-2015,0.0
Dhamangaon1 SC,Sep-2015,
Dhamangaon1 SC,Oct-2015,
Dhamangaon1 SC,Nov-2015,
Dhamangaon1 SC,Dec-2015,0.0
Dhamangaon1 SC,Jan-2016,
Dhamangaon1 SC,Feb-2016,
Dhamangaon1 SC,Mar-2016,
Dhamangaon1 SC,Total,0.0
Mahuli SC,Apr-2015,
Mahuli SC,May-2015,
Mahuli SC,Jun-2015,0.0
Mahuli SC,Jul-2015,
Mahuli SC,Aug-2015,1.0
Mahuli SC,Sep-2015,
Mahuli SC,Oct-2015,
Mahuli SC,Nov-2015,
Mahuli SC,Dec-2015,
Mahuli SC,Jan-2016,
Mahuli SC,Feb-2016,
