,,Fraction of people suffering from severe anemia
Adegaon Hingana SC,Apr-2015,0.0
Adegaon Hingana SC,May-2015,0.0
Adegaon Hingana SC,Jun-2015,0.0
Adegaon Hingana SC,Jul-2015,0.0
Adegaon Hingana SC,Aug-2015,0.0
Adegaon Hingana SC,Sep-2015,0.0
Adegaon Hingana SC,Oct-2015,0.0
Adegaon Hingana SC,Nov-2015,0.0
Adegaon Hingana SC,Dec-2015,0.0
Adegaon Hingana SC,Jan-2016,0.0
Adegaon Hingana SC,Feb-2016,0.0
Adegaon Hingana SC,Mar-2016,0.0
Adegaon Hingana SC,Total,0.0
Ambadi SC,Apr-2015,0.0
Ambadi SC,May-2015,0.0
Ambadi SC,Jun-2015,0.0
Ambadi SC,Jul-2015,0.0
Ambadi SC,Aug-2015,0.0
Ambadi SC,Sep-2015,0.0
Ambadi SC,Oct-2015,0.0
Ambadi SC,Nov-2015,0.0
Ambadi SC,Dec-2015,0.0
Ambadi SC,Jan-2016,0.0
Ambadi SC,Feb-2016,0.0
Ambadi SC,Mar-2016,0.0
Ambadi SC,Total,0.0
Borkhedi Nagpur SC,Apr-2015,0.0
Borkhedi Nagpur SC,May-2015,0.0
Borkhedi Nagpur SC,Jun-2015,0.0
Borkhedi Nagpur SC,Jul-2015,0.0
Borkhedi Nagpur SC,Aug-2015,0.0
Borkhedi Nagpur SC,Sep-2015,0.0
Borkhedi Nagpur SC,Oct-2015,0.0
Borkhedi Nagpur SC,Nov-2015,0.0
Borkhedi Nagpur SC,Dec-2015,0.0
Borkhedi Nagpur SC,Jan-2016,0.21212121212121213
Borkhedi Nagpur SC,Feb-2016,0.18518518518518517
Borkhedi Nagpur SC,Mar-2016,0.28125
Borkhedi Nagpur SC,Total,0.07806691449814127
Dhamangaon1 SC,Apr-2015,0.0
Dhamangaon1 SC,May-2015,0.0
Dhamangaon1 SC,Jun-2015,0.0
Dhamangaon1 SC,Jul-2015,0.0
Dhamangaon1 SC,Aug-2015,0.2222222222222222
Dhamangaon1 SC,Sep-2015,0.0
Dhamangaon1 SC,Oct-2015,0.0
Dhamangaon1 SC,Nov-2015,0.0
Dhamangaon1 SC,Dec-2015,0.0
Dhamangaon1 SC,Jan-2016,0.0
Dhamangaon1 SC,Feb-2016,0.0
Dhamangaon1 SC,Mar-2016,0.0
Dhamangaon1 SC,Total,0.01904761904761905
Mahuli SC,Apr-2015,0.0
Mahuli SC,May-2015,0.0
Mahuli SC,Jun-2015,0.0
Mahuli SC,Jul-2015,0.0
Mahuli SC,Aug-2015,0.0
Mahuli SC,Sep-2015,0.0
Mahuli SC,Oct-2015,0.0
Mahuli SC,Nov-2015,0.0
Mahuli SC,Dec-2015,0.0
Mahuli SC,Jan-2016,0.0
Mahuli SC,Feb-2016,0.0
Mahuli SC,Mar-2016,0.0
Mahuli SC,Total,0.0
Pipri Kanhan SC,Apr-2015,0.0
Pipri Kanhan SC,May-2015,0.0
Pipri Kanhan SC,Jun-2015,0.0
Pipri Kanhan SC,Jul-2015,0.0
Pipri Kanhan SC,Aug-2015,0.0
Pipri Kanhan SC,Sep-2015,
Pipri Kanhan SC,Oct-2015,
Pipri Kanhan SC,Nov-2015,
Pipri Kanhan SC,Dec-2015,0.0
Pipri Kanhan SC,Jan-2016,0.0
Pipri Kanhan SC,Feb-2016,0.0
Pipri Kanhan SC,Mar-2016,0.0
