,,Fraction of pregnant women registered under JSY
Adegaon Hingana SC,Apr-2015,0.25
Adegaon Hingana SC,May-2015,0.0
Adegaon Hingana SC,Jun-2015,0.0
Adegaon Hingana SC,Jul-2015,0.1
Adegaon Hingana SC,Aug-2015,0.2
Adegaon Hingana SC,Sep-2015,0.0
Adegaon Hingana SC,Oct-2015,0.4
Adegaon Hingana SC,Nov-2015,0.2857142857142857
Adegaon Hingana SC,Dec-2015,0.5
Adegaon Hingana SC,Jan-2016,0.0
Adegaon Hingana SC,Feb-2016,0.5
Adegaon Hingana SC,Mar-2016,0.5
Adegaon Hingana SC,Total,0.2153846153846154
Ambadi SC,Apr-2015,0.5
Ambadi SC,May-2015,0.4
Ambadi SC,Jun-2015,1.0
Ambadi SC,Jul-2015,1.0
Ambadi SC,Aug-2015,0.3333333333333333
Ambadi SC,Sep-2015,0.3333333333333333
Ambadi SC,Oct-2015,0.3333333333333333
Ambadi SC,Nov-2015,0.3333333333333333
Ambadi SC,Dec-2015,0.5
Ambadi SC,Jan-2016,0.5
Ambadi SC,Feb-2016,1.0
Ambadi SC,Mar-2016,0.125
Ambadi SC,Total,0.4583333333333333
Borkhedi Nagpur SC,Apr-2015,0.3684210526315789
Borkhedi Nagpur SC,May-2015,0.4
Borkhedi Nagpur SC,Jun-2015,0.14285714285714285
Borkhedi Nagpur SC,Jul-2015,0.25
Borkhedi Nagpur SC,Aug-2015,0.375
Borkhedi Nagpur SC,Sep-2015,0.2857142857142857
Borkhedi Nagpur SC,Oct-2015,0.2777777777777778
Borkhedi Nagpur SC,Nov-2015,0.2
Borkhedi Nagpur SC,Dec-2015,0.21428571428571427
Borkhedi Nagpur SC,Jan-2016,0.38461538461538464
Borkhedi Nagpur SC,Feb-2016,0.13636363636363635
Borkhedi Nagpur SC,Mar-2016,0.43478260869565216
Borkhedi Nagpur SC,Total,0.2972972972972973
Dhamangaon1 SC,Apr-2015,1.0
Dhamangaon1 SC,May-2015,0.5
Dhamangaon1 SC,Jun-2015,0.5
Dhamangaon1 SC,Jul-2015,0.5
Dhamangaon1 SC,Aug-2015,0.5
Dhamangaon1 SC,Sep-2015,0.6666666666666666
Dhamangaon1 SC,Oct-2015,0.0
