,,Fraction of pregnant women registered within 1st trimester
Adegaon Hingana SC,Apr-2015,1.0
Adegaon Hingana SC,May-2015,0.6666666666666666
Adegaon Hingana SC,Jun-2015,1.0
Adegaon Hingana SC,Jul-2015,0.8
Adegaon Hingana SC,Aug-2015,0.7
Adegaon Hingana SC,Sep-2015,0.8888888888888888
Adegaon Hingana SC,Oct-2015,0.8
Adegaon Hingana SC,Nov-2015,0.7142857142857143
Adegaon Hingana SC,Dec-2015,0.75
Adegaon Hingana SC,Jan-2016,1.0
Adegaon Hingana SC,Feb-2016,1.0
Adegaon Hingana SC,Mar-2016,1.0
Adegaon Hingana SC,Total,0.8307692307692308
Ambadi SC,Apr-2015,1.0
Ambadi SC,May-2015,0.4
Ambadi SC,Jun-2015,1.0
Ambadi SC,Jul-2015,1.0
Ambadi SC,Aug-2015,1.0
Ambadi SC,Sep-2015,0.8333333333333334
Ambadi SC,Oct-2015,1.0
Ambadi SC,Nov-2015,0.6666666666666666
Ambadi SC,Dec-2015,1.0
Ambadi SC,Jan-2016,0.5
Ambadi SC,Feb-2016,1.0
Ambadi SC,Mar-2016,0.875
Ambadi SC,Total,0.8125
Borkhedi Nagpur SC,Apr-2015,0.7894736842105263
Borkhedi Nagpur SC,May-2015,0.9
Borkhedi Nagpur SC,Jun-2015,1.0
Borkhedi Nagpur SC,Jul-2015,0.8333333333333334
Borkhedi Nagpur SC,Aug-2015,0.25
Borkhedi Nagpur SC,Sep-2015,0.7857142857142857
Borkhedi Nagpur SC,Oct-2015,0.6666666666666666
Borkhedi Nagpur SC,Nov-2015,0.7
Borkhedi Nagpur SC,Dec-2015,0.6071428571428571
Borkhedi Nagpur SC,Jan-2016,0.7307692307692307
Borkhedi Nagpur SC,Feb-2016,0.6363636363636364
Borkhedi Nagpur SC,Mar-2016,0.8695652173913043
Borkhedi Nagpur SC,Total,0.7252252252252253
Dhamangaon1 SC,Apr-2015,1.0
Dhamangaon1 SC,May-2015,1.0
Dhamangaon1 SC,Jun-2015,1.0
Dhamangaon1 SC,Jul-2015,1.0
Dhamangaon1 SC,Aug-2015,1.0
Dhamangaon1 SC,Sep-2015,1.0
Dhamangaon1 SC,Oct-2015,1.0
Dhamangaon1 SC,Nov-2015,1.0
Dhamangaon1 SC,Dec-2015,1.0
Dhamangaon1 SC,Jan-2016,1.0
Dhamangaon1 SC,Feb-2016,1.0
Dhamangaon1 SC,Mar-2016,
Dhamangaon1 SC,Total,1.0
Mahuli SC,Apr-2015,1.0
Mahuli SC,May-2015,0.5
Mahuli SC,Jun-2015,0.6153846153846154
Mahuli SC,Jul-2015,0.8571428571428571
Mahuli SC,Aug-2015,0.8571428571428571
Mahuli SC,Sep-2015,0.8571428571428571
Mahuli SC,Oct-2015,1.0
Mahuli SC,Nov-2015,0.5
Mahuli SC,Dec-2015,0.7142857142857143
Mahuli SC,Jan-2016,1.0
Mahuli SC,Feb-2016,0.875
Mahuli SC,Mar-2016,0.75
Mahuli SC,Total,0.8
Pipri Kanhan SC,Apr-2015,1.0
Pipri Kanhan SC,May-2015,0.8
Pipri Kanhan SC,Jun-2015,0.8
Pipri Kanhan SC,Jul-2015,0.7777777777777778
Pipri Kanhan SC,Aug-2015,0.9
Pipri Kanhan SC,Sep-2015,0.7692307692307693
Pipri Kanhan SC,Oct-2015,0.8571428571428571
Pipri Kanhan SC,Nov-2015,0.75
Pipri Kanhan SC,Dec-2015,0.8
Pipri Kanhan SC,Jan-2016,0.8
Pipri Kanhan SC,Feb-2016,0.8571428571428571
Pipri Kanhan SC,Mar-2016,0.9333333333333333
Pipri Kanhan SC,Total,0.8421052631578947
Raipur Hingana SC,Apr-2015,0.7894736842105263
Raipur Hingana SC,May-2015,1.0
Raipur Hingana SC,Jun-2015,0.5925925925925926
Raipur Hingana SC,Jul-2015,0.7419354838709677
Raipur Hingana SC,Aug-2015,0.7142857142857143
Raipur Hingana SC,Sep-2015,0.7894736842105263
Raipur Hingana SC,Oct-2015,0.75
Raipur Hingana SC,Nov-2015,0.7692307692307693
Raipur Hingana SC,Dec-2015,0.78125
Raipur Hingana SC,Jan-2016,0.7058823529411765
Raipur Hingana SC,Feb-2016,0.6190476190476191
Raipur Hingana SC,Mar-2016,1.0
Raipur Hingana SC,Total,0.7433628318584071
Ridhora Kachrisawanga SC,Apr-2015,1.0
Ridhora Kachrisawanga SC,May-2015,0.6
Ridhora Kachrisawanga SC,Jun-2015,0.2857142857142857
Ridhora Kachrisawanga SC,Jul-2015,1.0
Ridhora Kachrisawanga SC,Aug-2015,1.0
Ridhora Kachrisawanga SC,Sep-2015,1.0
Ridhora Kachrisawanga SC,Oct-2015,0.8333333333333334
Ridhora Kachrisawanga SC,Nov-2015,0.6666666666666666
Ridhora Kachrisawanga SC,Dec-2015,1.0
Ridhora Kachrisawanga SC,Jan-2016,0.42857142857142855
Ridhora Kachrisawanga SC,Feb-2016,0.8571428571428571
Ridhora Kachrisawanga SC,Mar-2016,0.8
Ridhora Kachrisawanga SC,Total,0.782608695652174
SC ADAYL,Apr-2015,1.0
SC ADAYL,May-2015,0.5714285714285714
SC ADAYL,Jun-2015,1.0
SC ADAYL,Jul-2015,0.6666666666666666
SC ADAYL,Aug-2015,1.0
SC ADAYL,Sep-2015,0.6666666666666666
SC ADAYL,Oct-2015,1.0
SC ADAYL,Nov-2015,0.5
SC ADAYL,Dec-2015,1.0
SC ADAYL,Jan-2016,0.6666666666666666
SC ADAYL,Feb-2016,0.875
SC ADAYL,Mar-2016,1.0
SC ADAYL,Total,0.8235294117647058
SC AMADI,Apr-2015,1.0
SC AMADI,May-2015,1.0
SC AMADI,Jun-2015,0.8571428571428571
SC AMADI,Jul-2015,
SC AMADI,Aug-2015,1.0
SC AMADI,Sep-2015,0.9
SC AMADI,Oct-2015,1.0
